dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,mockito,org/mockito/internal/invocation/InvocationMatcher,6,126,"                if(isVariableArgument(invocation, position) && isVarargMatcher(m)) {
",0,1,0,3,7,0,10,0,0,11,68,8,0.31013,0
defect4j,mockito,org/mockito/internal/invocation/InvocationMatcher,6,149,"        return invocation.getRawArguments().length - 1 == position
",4,2,0,1,2,1,4,0,0,10,58,7,0.31013,0
defect4j,mockito,org/mockito/internal/stubbing/BaseStubbing,6,18,"        return thenAnswer(new Returns(value));
",2,0,0,2,4,1,2,2,0,6,38,5,0.29878,0
defect4j,mockito,org/mockito/internal/matchers/LocalizedMatcher,6,32,"        return actualMatcher.matches(item);
",0,0,0,1,2,1,6,0,0,6,35,5,0.29518,0
defect4j,mockito,org/mockito/internal/stubbing/answers/Returns,6,22,"        return value;
",2,0,0,0,0,1,0,0,0,2,13,4,0.28824,0
defect4j,mockito,org/mockito/internal/invocation/InvocationImpl,6,105,"        return this.rawArguments;
",2,0,0,0,0,1,0,0,0,2,25,5,0.27374,0
defect4j,mockito,org/mockito/Matchers,6,879,"        return MOCKING_PROGRESS.getArgumentMatcherStorage().reportMatcher(matcher);
",0,0,0,2,4,1,8,0,0,8,75,5,0.26344,0
defect4j,mockito,org/mockito/internal/stubbing/answers/Returns,6,30,"        return value.getClass();
",0,0,0,1,2,1,4,0,0,4,24,5,0.25654,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,22,"            validateReturnValue((Returns) answer, methodInfo);
",2,0,0,2,4,0,4,2,0,8,50,7,0.25521,0
defect4j,mockito,org/mockito/internal/invocation/MatchersBinder,6,32,"            int recordedMatchersSize = lastMatchers.size();
",2,0,0,1,2,0,4,0,0,6,47,7,0.25521,0
defect4j,mockito,org/mockito/internal/invocation/MatchersBinder,6,33,"            int expectedMatchersSize = invocation.getArguments().length;
",4,0,0,1,2,0,4,0,0,8,60,7,0.25521,0
defect4j,mockito,org/mockito/internal/invocation/MatchersBinder,6,34,"            if (expectedMatchersSize != recordedMatchersSize) {
",4,1,0,1,3,0,0,0,0,5,51,6,0.25521,0
defect4j,mockito,org/mockito/internal/progress/ArgumentMatcherStorageImpl,6,44,"        List<LocalizedMatcher> matchers = new ArrayList<LocalizedMatcher>(matcherStack);
",4,0,0,1,2,0,0,8,0,12,80,4,0.25521,0
defect4j,mockito,org/mockito/internal/progress/ArgumentMatcherStorageImpl,6,45,"        matcherStack.clear();
",0,0,0,1,2,0,4,0,0,4,21,5,0.25521,0
defect4j,mockito,org/mockito/internal/progress/ArgumentMatcherStorageImpl,6,46,"        return (List) matchers;
",2,0,0,1,2,1,0,2,0,4,23,5,0.25521,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,75,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.25521,0
defect4j,mockito,org/mockito/internal/stubbing/answers/MethodInfo,6,38,"        if (method.getReturnType().isPrimitive() || clazz.isPrimitive()) {
",0,1,0,4,9,0,10,0,0,11,66,4,0.25389,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,72,"        if (!answer.returnsNull() && !methodInfo.isValidReturnType(answer.getReturnType())) {
",0,1,0,4,9,0,12,0,0,15,85,4,0.25000,0
defect4j,mockito,org/mockito/internal/stubbing/answers/Returns,6,34,"        return value == null;
",2,1,0,0,0,1,0,0,0,3,21,4,0.24747,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,68,"        if (answer.returnsNull() && methodInfo.returnsPrimitive()) {
",0,1,0,3,7,0,8,0,0,9,60,4,0.24747,0
defect4j,mockito,org/mockito/internal/progress/ArgumentMatcherStorageImpl,6,32,"        matcherStack.push(new LocalizedMatcher(matcher));
",2,0,0,2,4,0,4,2,0,8,49,5,0.24378,0
defect4j,mockito,org/mockito/internal/progress/ArgumentMatcherStorageImpl,6,33,"        return new HandyReturnValues();
",0,0,0,1,2,1,0,2,0,2,31,6,0.24378,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,64,"        if (methodInfo.isVoid()) {
",0,0,0,2,5,0,4,0,0,4,26,5,0.24378,0
defect4j,mockito,org/mockito/internal/matchers/LocalizedMatcher,6,22,"    public LocalizedMatcher(Matcher actualMatcher) {
",4,0,0,1,3,1,0,2,0,7,48,2,0.24020,0
defect4j,mockito,org/mockito/internal/matchers/LocalizedMatcher,6,23,"        this.actualMatcher = actualMatcher;
",4,0,0,0,0,0,0,0,0,5,35,4,0.24020,0
defect4j,mockito,org/mockito/internal/matchers/LocalizedMatcher,6,24,"        this.location = new LocationImpl();
",2,0,0,1,2,0,0,2,0,5,35,4,0.24020,0
defect4j,mockito,org/mockito/internal/matchers/LocalizedMatcher,6,25,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.24020,0
defect4j,mockito,org/mockito/internal/stubbing/OngoingStubbingImpl,6,28,"        invocationContainerImpl.addAnswer(answer);
",0,0,0,1,2,0,6,0,0,6,42,5,0.24020,0
defect4j,mockito,org/mockito/internal/stubbing/OngoingStubbingImpl,6,29,"        return new ConsecutiveStubbing<T>(invocationContainerImpl);
",2,0,0,1,2,1,0,4,0,6,59,5,0.24020,0
defect4j,mockito,org/mockito/internal/stubbing/answers/Returns,6,17,"    public Returns(Object value) {
",4,0,0,1,3,1,0,2,0,7,30,2,0.23902,0
defect4j,mockito,org/mockito/internal/stubbing/answers/Returns,6,18,"        this.value = value;
",4,0,0,0,0,0,0,0,0,5,19,4,0.23902,0
defect4j,mockito,org/mockito/internal/stubbing/answers/Returns,6,19,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.23902,0
defect4j,mockito,org/mockito/internal/handler/MockHandlerImpl,6,91,"            return stubbedInvocation.answer(invocation);
",0,0,0,1,2,1,6,0,0,6,44,7,0.23902,0
defect4j,mockito,org/mockito/internal/stubbing/StubbedInvocationMatcher,6,33,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,0.23671,0
defect4j,mockito,org/mockito/internal/stubbing/StubbedInvocationMatcher,6,34,"        return a.answer(invocation);
",0,0,0,1,2,1,6,0,0,6,28,5,0.23671,0
defect4j,mockito,org/mockito/internal/stubbing/ConsecutiveStubbing,6,14,"    public ConsecutiveStubbing(InvocationContainerImpl invocationContainerImpl) {
",4,0,0,1,3,1,0,2,0,7,77,2,0.23445,0
defect4j,mockito,org/mockito/internal/stubbing/ConsecutiveStubbing,6,15,"        this.invocationContainerImpl = invocationContainerImpl;
",4,0,0,0,0,0,0,0,0,5,55,4,0.23445,0
defect4j,mockito,org/mockito/internal/stubbing/ConsecutiveStubbing,6,16,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.23445,0
defect4j,mockito,org/mockito/internal/stubbing/answers/MethodInfo,6,46,"        return this.method.getReturnType() == Void.TYPE;
",6,1,0,1,2,1,2,0,0,9,48,4,0.23113,0
defect4j,mockito,org/mockito/internal/verification/DefaultRegisteredInvocations,6,48,"        synchronized (invocations) {
",2,0,0,1,3,0,0,0,0,2,28,4,0.23005,0
defect4j,mockito,org/mockito/internal/verification/DefaultRegisteredInvocations,6,49,"            return invocations.isEmpty();
",0,0,0,1,2,1,4,0,0,4,29,7,0.23005,0
defect4j,mockito,org/mockito/internal/stubbing/OngoingStubbingImpl,6,24,"        if(!invocationContainerImpl.hasInvocationForPotentialStubbing()) {
",0,0,0,2,5,0,4,0,0,5,66,4,0.22897,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,50,"        addAnswer(answer, false);
",0,0,0,1,2,0,4,0,0,5,25,5,0.22685,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,51,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.22685,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,103,"        return !registeredInvocations.isEmpty();
",0,0,0,1,2,1,4,0,0,5,40,4,0.22685,0
defect4j,mockito,org/mockito/internal/MockitoCore,6,80,"        return (OngoingStubbing) stub();
",0,0,0,2,4,1,2,2,0,4,32,5,0.22477,0
defect4j,mockito,org/mockito/Mockito,6,1523,"        return MOCKITO_CORE.when(methodCall);
",0,0,0,1,2,1,6,0,0,6,37,5,0.22477,0
defect4j,mockito,org/mockito/internal/verification/DefaultRegisteredInvocations,6,31,"        synchronized (invocations) {
",2,0,0,1,3,0,0,0,0,2,28,4,0.21973,0
defect4j,mockito,org/mockito/internal/verification/DefaultRegisteredInvocations,6,32,"            if (! invocations.isEmpty()) {
",0,0,0,2,5,0,4,0,0,5,30,6,0.21973,0
defect4j,mockito,org/mockito/internal/verification/DefaultRegisteredInvocations,6,33,"                invocations.removeLast();
",0,0,0,1,2,0,4,0,0,4,25,9,0.21973,0
defect4j,mockito,org/mockito/internal/verification/DefaultRegisteredInvocations,6,35,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,0.21973,0
defect4j,mockito,org/mockito/internal/verification/DefaultRegisteredInvocations,6,36,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.21973,0
defect4j,mockito,org/mockito/internal/MockitoCore,6,70,"        return stubbing;
",2,0,0,0,0,1,0,0,0,2,16,4,0.21973,0
defect4j,mockito,org/mockito/internal/MockitoCore,6,79,"        mockingProgress.stubbingStarted();
",0,0,0,1,2,0,4,0,0,4,34,5,0.21778,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,49,"        registeredInvocations.removeLast();
",0,0,0,1,2,0,4,0,0,4,35,5,0.21491,0
defect4j,mockito,org/mockito/internal/MockitoCore,6,65,"        IOngoingStubbing stubbing = mockingProgress.pullOngoingStubbing();
",2,0,0,1,2,0,4,2,0,8,66,4,0.21304,0
defect4j,mockito,org/mockito/internal/MockitoCore,6,66,"        if (stubbing == null) {
",2,1,0,1,3,0,0,0,0,3,23,4,0.21304,0
defect4j,mockito,org/mockito/internal/handler/MockHandlerImpl,6,90,"            stubbedInvocation.captureArgumentsFrom(invocation);
",0,0,0,1,2,0,6,0,0,6,51,7,0.20940,0
defect4j,mockito,org/mockito/internal/stubbing/StubbedInvocationMatcher,6,31,"        synchronized(answers) {
",2,0,0,1,3,0,0,0,0,2,23,4,0.20675,0
defect4j,mockito,org/mockito/internal/stubbing/StubbedInvocationMatcher,6,32,"            a = answers.size() == 1 ? answers.peek() : answers.poll();
",2,1,0,3,6,0,12,0,0,16,58,6,0.20675,0
defect4j,mockito,org/mockito/internal/stubbing/StubbedInvocationMatcher,6,42,"        this.usedAt = usedAt;
",4,0,0,0,0,0,0,0,0,5,21,4,0.20502,0
defect4j,mockito,org/mockito/internal/stubbing/StubbedInvocationMatcher,6,43,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.20502,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,80,"                    s.markStubUsed(invocation);
",0,0,0,1,2,0,6,0,0,6,27,11,0.20502,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,81,"                    invocation.markStubbed(new StubInfoImpl(s));
",2,0,0,2,4,0,4,2,0,8,44,11,0.20502,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,82,"                    return s;
",2,0,0,0,0,1,0,0,0,2,9,10,0.20502,0
defect4j,mockito,org/mockito/internal/invocation/StubInfoImpl,6,17,"    public StubInfoImpl(DescribedInvocation stubbedAt) {
",4,0,0,1,3,1,0,2,0,7,52,2,0.20417,0
defect4j,mockito,org/mockito/internal/invocation/StubInfoImpl,6,18,"        this.stubbedAt = stubbedAt;
",4,0,0,0,0,0,0,0,0,5,27,4,0.20417,0
defect4j,mockito,org/mockito/internal/invocation/StubInfoImpl,6,19,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.20417,0
defect4j,mockito,org/mockito/internal/invocation/InvocationImpl,6,124,"        this.stubInfo = stubInfo;
",4,0,0,0,0,0,0,0,0,5,25,4,0.20417,0
defect4j,mockito,org/mockito/internal/invocation/InvocationImpl,6,125,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.20417,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,79,"                if (s.matches(invocation)) {
",0,0,0,2,5,0,6,0,0,6,28,9,0.20165,0
defect4j,mockito,org/mockito/internal/progress/ThreadSafeMockingProgress,6,32,"        return threadSafely().pullOngoingStubbing();
",0,0,0,2,4,1,4,0,0,4,44,5,0.19444,0
defect4j,mockito,org/mockito/internal/progress/MockingProgressImpl,6,34,"        IOngoingStubbing temp = iOngoingStubbing;
",4,0,0,0,0,0,0,2,0,6,41,4,0.19444,0
defect4j,mockito,org/mockito/internal/progress/MockingProgressImpl,6,35,"        iOngoingStubbing = null;
",2,0,0,0,0,0,0,0,0,3,24,4,0.19444,0
defect4j,mockito,org/mockito/internal/progress/MockingProgressImpl,6,36,"        return temp;
",2,0,0,0,0,1,0,0,0,2,12,4,0.19444,0
defect4j,mockito,org/mockito/internal/invocation/InvocationMatcher,6,36,"            this.matchers = matchers;
",4,0,0,0,0,0,0,0,0,5,25,6,0.18352,0
defect4j,mockito,org/mockito/internal/stubbing/StubbedInvocationMatcher,6,20,"    private final Queue<Answer> answers = new ConcurrentLinkedQueue<Answer>();
",2,0,0,1,2,2,0,8,0,12,74,2,0.17883,0
defect4j,mockito,org/mockito/internal/stubbing/StubbedInvocationMatcher,6,24,"        super(invocation.getInvocation(), invocation.getMatchers());
",0,0,0,3,6,0,8,0,0,8,60,5,0.17883,0
defect4j,mockito,org/mockito/internal/stubbing/StubbedInvocationMatcher,6,25,"        this.answers.add(answer);
",2,0,0,1,2,0,4,0,0,6,25,5,0.17883,0
defect4j,mockito,org/mockito/internal/stubbing/StubbedInvocationMatcher,6,26,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.17883,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,61,"        answersValidator.validate(answer, invocation);
",0,0,0,1,2,0,8,0,0,8,46,5,0.17883,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,63,"        synchronized (stubbed) {
",2,0,0,1,3,0,0,0,0,2,24,4,0.17883,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,64,"            if (isConsecutive) {
",2,0,0,1,3,0,0,0,0,2,20,6,0.17883,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,67,"                stubbed.addFirst(new StubbedInvocationMatcher(invocationForStubbing, answer));
",4,0,0,2,4,0,4,2,0,10,78,9,0.17883,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,69,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,0.17883,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,70,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.17883,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,37,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.17500,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,33,"        if (answer instanceof ReturnsArgumentAt) {
",2,0,0,1,3,0,0,2,0,4,42,5,0.17314,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,29,"        if (answer instanceof CallsRealMethods) {
",2,0,0,1,3,0,0,2,0,4,41,5,0.17193,0
defect4j,mockito,org/mockito/internal/progress/ThreadSafeMockingProgress,6,44,"        threadSafely().stubbingStarted();
",0,0,0,2,4,0,4,0,0,4,33,5,0.17193,0
defect4j,mockito,org/mockito/internal/progress/ThreadSafeMockingProgress,6,45,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.17193,0
defect4j,mockito,org/mockito/internal/progress/ThreadSafeMockingProgress,6,52,"        threadSafely().stubbingCompleted(invocation);
",0,0,0,2,4,0,6,0,0,6,45,5,0.17133,0
defect4j,mockito,org/mockito/internal/progress/ThreadSafeMockingProgress,6,53,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.17133,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,25,"        if (answer instanceof DoesNothing) {
",2,0,0,1,3,0,0,2,0,4,36,5,0.17073,0
defect4j,mockito,org/mockito/internal/progress/MockingProgressImpl,6,63,"        validateState();
",0,0,0,1,2,0,2,0,0,2,16,5,0.17073,0
defect4j,mockito,org/mockito/internal/progress/MockingProgressImpl,6,64,"        stubbingInProgress = new LocationImpl();
",2,0,0,1,2,0,0,2,0,5,40,4,0.17073,0
defect4j,mockito,org/mockito/internal/progress/MockingProgressImpl,6,65,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.17073,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,58,"        Invocation invocation = invocationForStubbing.getInvocation();
",2,0,0,1,2,0,4,2,0,8,62,4,0.16724,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,59,"        mockingProgress.stubbingCompleted(invocation);
",0,0,0,1,2,0,6,0,0,6,46,5,0.16724,0
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,6,60,"        AnswersValidator answersValidator = new AnswersValidator();
",2,0,0,1,2,0,0,4,0,6,59,4,0.16724,0
defect4j,mockito,org/mockito/internal/progress/MockingProgressImpl,6,93,"        stubbingInProgress = null;
",2,0,0,0,0,0,0,0,0,3,26,4,0.16724,0
defect4j,mockito,org/mockito/internal/progress/MockingProgressImpl,6,94,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.16724,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,21,"        if (answer instanceof Returns) {
",2,0,0,1,3,0,0,2,0,4,32,5,0.16554,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,11,"public class AnswersValidator {
",2,0,0,0,1,1,0,0,0,3,31,1,0.15806,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,13,"    private final Reporter reporter = new Reporter();
",2,0,0,1,2,2,0,4,0,8,49,2,0.15806,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,16,"        MethodInfo methodInfo = new MethodInfo(invocation);
",4,0,0,1,2,0,0,4,0,8,51,4,0.15806,0
defect4j,mockito,org/mockito/internal/stubbing/answers/AnswersValidator,6,17,"        if (answer instanceof ThrowsException) {
",2,0,0,1,3,0,0,2,0,4,40,5,0.15806,0
defect4j,mockito,org/mockito/internal/stubbing/answers/MethodInfo,6,21,"    public MethodInfo(Invocation theInvocation) {
",4,0,0,1,3,1,0,2,0,7,45,2,0.15756,0
defect4j,mockito,org/mockito/internal/stubbing/answers/MethodInfo,6,22,"        this.method = theInvocation.getMethod();
",2,0,0,1,2,0,4,0,0,7,40,4,0.15756,0
defect4j,mockito,org/mockito/internal/stubbing/answers/MethodInfo,6,23,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.15756,0
defect4j,mockito,org/mockito/internal/creation/DelegatingMethod,6,34,"        return method.getParameterTypes();
",0,0,0,1,2,1,4,0,0,4,34,5,0.15756,0
defect4j,mockito,org/mockito/internal/progress/HandyReturnValues,6,13,"public class HandyReturnValues {
",2,0,0,0,1,1,0,0,0,3,32,1,0.14939,0
defect4j,mockito,org/mockito/internal/invocation/InvocationMatcher,6,123,"            Matcher m = matchers.get(position);
",2,0,0,1,2,0,6,2,0,10,35,6,0.14759,0
defect4j,mockito,org/mockito/internal/invocation/InvocationMatcher,6,124,"            if (m instanceof CapturesArguments && invocation.getRawArguments().length > position) {
",6,2,0,2,5,0,4,2,0,14,87,6,0.14759,0
defect4j,mockito,org/mockito/Matchers,6,137,"        return reportMatcher(Any.ANY).returnZero();
",4,0,0,2,4,1,4,0,0,8,43,5,0.14286,0
defect4j,mockito,org/mockito/Matchers,6,152,"        return reportMatcher(Any.ANY).returnChar();
",4,0,0,2,4,1,4,0,0,8,43,5,0.14286,0
defect4j,mockito,org/mockito/Matchers,6,182,"        return reportMatcher(Any.ANY).returnZero();
",4,0,0,2,4,1,4,0,0,8,43,5,0.14286,0
defect4j,mockito,org/mockito/Matchers,6,197,"        return reportMatcher(Any.ANY).returnZero();
",4,0,0,2,4,1,4,0,0,8,43,5,0.14286,0
defect4j,mockito,org/mockito/Matchers,6,212,"        return reportMatcher(Any.ANY).returnZero();
",4,0,0,2,4,1,4,0,0,8,43,5,0.14286,0
defect4j,mockito,org/mockito/Matchers,6,227,"        return reportMatcher(Any.ANY).returnZero();
",4,0,0,2,4,1,4,0,0,8,43,5,0.14286,0
defect4j,mockito,org/mockito/internal/invocation/ArgumentsComparator,6,26,"            if (!invocationMatcher.getMatchers().get(i).matches(actualArgs[i])) {
",0,0,1,5,11,0,10,0,0,15,69,6,0.13137,0
defect4j,mockito,org/mockito/internal/invocation/InvocationMatcher,6,108,"        		if (params1[i] != params2[i])
",0,1,1,3,6,0,0,0,0,9,29,10,0.12760,0
defect4j,mockito,org/mockito/Matchers,6,122,"        return reportMatcher(Any.ANY).returnFalse();
",4,0,0,2,4,1,4,0,0,8,44,5,0.12500,0
defect4j,mockito,org/mockito/internal/invocation/InvocationMatcher,6,138,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.11086,0
defect4j,mockito,org/mockito/internal/invocation/InvocationMatcher,6,122,"        for (int position = 0; position < matchers.size(); position++) {
",6,1,0,2,5,0,4,0,0,12,64,4,0.10722,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,108,"        } else if (type == HashMap.class) {
",2,1,0,1,4,0,0,2,0,5,35,15,0.10652,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,110,"        } else if (type == SortedMap.class) {
",2,1,0,1,4,0,0,2,0,5,37,16,0.10652,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,112,"        } else if (type == TreeMap.class) {
",2,1,0,1,4,0,0,2,0,5,35,17,0.10652,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,114,"        } else if (type == LinkedHashMap.class) {
",2,1,0,1,4,0,0,2,0,5,41,18,0.10652,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,120,"        return null;
",0,0,0,0,0,1,0,0,0,0,12,3,0.10652,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,102,"        } else if (type == LinkedList.class) {
",2,1,0,1,4,0,0,2,0,5,38,12,0.10629,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,104,"        } else if (type == ArrayList.class) {
",2,1,0,1,4,0,0,2,0,5,37,13,0.10629,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,106,"        } else if (type == Map.class) {
",2,1,0,1,4,0,0,2,0,5,31,14,0.10629,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,88,"        } else if (type == Collection.class) {
",2,1,0,1,4,0,0,2,0,5,38,5,0.10583,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,90,"        } else if (type == Set.class) {
",2,1,0,1,4,0,0,2,0,5,31,6,0.10583,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,92,"        } else if (type == HashSet.class) {
",2,1,0,1,4,0,0,2,0,5,35,7,0.10583,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,94,"        } else if (type == SortedSet.class) {
",2,1,0,1,4,0,0,2,0,5,37,8,0.10583,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,96,"        } else if (type == TreeSet.class) {
",2,1,0,1,4,0,0,2,0,5,35,9,0.10583,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,98,"        } else if (type == LinkedHashSet.class) {
",2,1,0,1,4,0,0,2,0,5,41,10,0.10583,0
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,6,100,"        } else if (type == List.class) {
",2,1,0,1,4,0,0,2,0,5,32,11,0.10583,0
defect4j,mockito,org/mockito/internal/invocation/ArgumentsProcessor,6,47,"                matchers.add(new Equals(arg));
",2,0,0,2,4,0,4,2,0,8,30,9,0.10493,0
defect4j,mockito,org/mockito/internal/invocation/ArgumentsComparator,6,30,"        return true;
",0,0,0,0,0,1,0,0,0,1,12,4,0.10448,0
defect4j,mockito,org/mockito/internal/invocation/ArgumentsProcessor,6,44,"            if (arg != null && arg.getClass().isArray()) {
",2,2,0,3,7,0,6,0,0,10,46,6,0.10381,0
defect4j,mockito,org/mockito/internal/matchers/Equals,6,19,"    public Equals(Object wanted) {
",4,0,0,1,3,1,0,2,0,7,30,2,0.10273,0
defect4j,mockito,org/mockito/internal/matchers/Equals,6,20,"        this.wanted = wanted;
",4,0,0,0,0,0,0,0,0,5,21,4,0.10273,0
defect4j,mockito,org/mockito/internal/matchers/Equals,6,21,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.10273,0
defect4j,mockito,org/mockito/Mockito,6,1163,"        return mock(classToMock, withSettings().defaultAnswer(RETURNS_DEFAULTS));
",0,0,0,3,6,1,10,0,0,10,73,5,0.09919,0
defect4j,mockito,org/mockito/internal/invocation/ArgumentsComparator,6,25,"        for (int i = 0; i < actualArgs.length; i++) {
",10,1,0,1,3,0,0,0,0,12,45,4,0.09742,0
defect4j,mockito,org/mockito/internal/invocation/InvocationMatcher,6,111,"        	    return true;
",0,0,0,0,0,1,0,0,0,1,12,8,0.09589,0
